poll_id,date,title,categories
661,2006-09-28,Verlängerung des Afghanistan-Einsatzes (ISAF),afghanistan
679,2007-10-12,"Verlängerung Afghanistan-Einsatz (ISAF, Tornado)",afghanistan
699,2008-10-16,Verlängerung Afghanistan-Einsatz (ISAF),afghanistan
731,2009-12-03,Verlängerung Afghanistaneinsatz (ISAF),afghanistan
766,2010-02-26,Verlängerung Afghanistaneinsatz (ISAF),afghanistan
712,2011-01-28,Verlängerung Afghanistaneinsatz (ISAF),afghanistan
878,2011-06-30,Atomausstieg bis 2022,major
910,2012-01-26,Verlängerung Afghanistan-Einsatz (ISAF),afghanistan
929,2012-06-28,Recht auf Eheschließung für gleichgeschlechtliche Paare,lgbt
977,2013-01-31,Verlängerung Afghanistan-Einsatz (ISAF),afghanistan
1011,2014-02-20,Fortsetzung des Afghanistan-Einsatzes (ISAF) (2014),afghanistan
1048,2014-05-22,Änderungsantrag zum Gesetz zur Sukzessivadoption durch Lebenspartner,lgbt
1052,2014-07-03,"Flächendeckender Mindestlohn von 8,50 Euro",major
1082,2014-12-19,Bundeswehreinsatz in Afghanistan (2014),afghanistan
1106,2015-08-19,Gewährung eines 86 Mrd. Euro Kreditpakets für Griechenland,major
1146,2015-12-17,Verlängerung des Afghanistan-Einsatzes der Bundeswehr (2016),afghanistan
1208,2016-12-15,Verlängerung des Bundeswehreinsatz in Afghanistan (2016),afghanistan
1232,2017-06-30,Ehe für Alle,major;lgbt
1245,2017-12-12, Verlängerung des Bundeswehreinsatzes in Afghanistan (2017),afghanistan
1284,2018-03-22,Ausweitung des Ausbildungseinsatzes der Bundeswehr in Afghanistan,afghanistan
1660,2019-03-21,Einsatz der Bundeswehr in Afghanistan verlängern,afghanistan
3571,2020-03-13,Fortsetzung des Bundeswehreinsatzes in Afghanistan,afghanistan
4085,2021-03-25,Fortsetzung des Bundeswehreinsatzes in Afghanistan,afghanistan
4146,2021-05-19,Aufhebung des Transsexuellengesetzes und Einführung des Selbstbestimmungsgesetzes,lgbt
4539,2022-04-07,Impfpflicht ab 60,major
4646,2022-06-03,Sondervermögen Bundeswehr,major
4826,2022-11-10,Einführung des Bürgergeldes,major
5418,2024-02-23,Cannabisgesetz,major
5496,2024-04-12,Selbstbestimmungsgesetz,spotlight;major;lgbt
5864,2025-01-31,Zustrombegrenzungsgesetz,major
5957,2025-03-18,Lockerung der Schuldenbremse,major
